,job_name,company_name,company_location,salary,job_description,job_apply_url
0,Sponsoring H1b- Python Developer onsite hiring opportunities,Vedamsoft Inc,"Hyderabad, USA",Not disclosed,   Full stack Python Developer onsite hiring opportunities H1b sponsorship (USA). Job R...,https://www.naukri.com/job-listings-sponsoring-h1b-python-developer-onsite-hiring-opportunities-vedamsoft-inc-hyderabad-usa-5-to-10-years-020224009482
1,Sr Software Developer - Python,Alliance Bernstein3.94  Reviews,Pune,Not disclosed,"The ideal candidate should have the following) Qualifications, Experience, Education  ....",https://www.naukri.com/job-listings-sr-software-developer-python-alliance-bernstein-pune-2-to-6-years-070224501649
2,Python Developer (Data Science),Wipro3.839002  Reviews,"Pune, Chennai, Bengaluru",Not disclosed,Shift : Evening Shift . Cloud experience is preferred (Azure)Experience Level 3 to 6 Ye...,https://www.naukri.com/job-listings-python-developer-data-science-wipro-pune-chennai-bengaluru-3-to-6-years-290124000659
3,immediate joiners  Python Developer Freshers & Experience,Coriolis Tech,"Pune, Maharashtra(Kharadi +1)",4.25-6.5 Lacs PA,"Role & responsibilities  Objectives of this roleDevelop, test and maintain high-quality...",https://www.naukri.com/job-listings-immediate-joiners-python-developer-freshers-experience-coriolis-tech-pune-maharashtra-0-to-1-years-090224004828
4,Python Developer,Synechron3.82305  Reviews,"Hybrid - Pune, Maharashtra",Not disclosed,"Experience with file handling in Python, particularly with JSON and CSV formats",https://www.naukri.com/job-listings-python-developer-synechron-pune-maharashtra-5-to-10-years-080224011271
5,Lead/Senior Python Developer,Zymr Systems3.273  Reviews,"Pune, Maharashtra, Ahmedabad, Bengaluru",Not disclosed,"Required Educational Qualification: UG: BE/ B Tech, PG: MCA, ME / M TechSystem Architec...",https://www.naukri.com/job-listings-lead-senior-python-developer-zymr-systems-pune-maharashtra-ahmedabad-bengaluru-5-to-10-years-261223005654
6,Python Software Developer,Cygnus Professionals3.02  Reviews,Pune,Not disclosed,"Experience in software architecture, system design & development. . Networking fundamen...",https://www.naukri.com/job-listings-python-software-developer-cygnus-professionals-pune-7-to-10-years-080224008569
7,Full Stack Python Developer,Deutsche Bank4.12820  Reviews,Pune,Not disclosed,"Practical experience of web technologies, frameworks and tools like React.js, HTML, CSS...",https://www.naukri.com/job-listings-full-stack-python-developer-deutsche-bank-ag-pune-3-to-5-years-020224905039
8,"Senior Software Engineer - Python, Scala",NICE3.8377  Reviews,Hybrid - Pune,Not disclosed," Description*Senior Software Engineer designs, develops, tests and maintains the NICE i...",https://www.naukri.com/job-listings-senior-software-engineer-python-scala-nice-interactive-pune-4-to-8-years-080224008221
9,Senior Python Full Stack Developer,Institutional Shareholder Services3.875  Reviews,Mumbai,Not disclosed,. Work closely with our Quality Assurance team during the testing and deployment phases...,https://www.naukri.com/job-listings-senior-python-full-stack-developer-institutional-shareholder-services-inc-mumbai-5-to-10-years-070224501339
10,multiple opening Testing JavaScript c++ python MySQL web developer sql,Techgimini,"Pune, Maharashtra, Bengaluru, Mumbai (All Areas)",5.5-8 Lacs PA,Role & responsibilities Contribute to all stages of software development life-cycleDesi...,https://www.naukri.com/job-listings-multiple-opening-testing-javascript-c-python-mysql-web-developer-sql-techgimini-pune-maharashtra-bengaluru-mumbai-all-areas-0-to-1-years-020224006709
11,Senior Software Developer(C++ & Python),Wsp Consultants4.2484  Reviews,"Hybrid - Noida, Bengaluru",Not disclosed,What will you be doing?WSP is seeking a highly skilled and experienced Coding Specialis...,https://www.naukri.com/job-listings-senior-software-developer-c-python-wsp-consultants-noida-bengaluru-3-to-8-years-080224010285
12,Python Trainer & Developer ( Night Shift and Work From Home),Wonksknow Technologies,Remote,8-10 Lacs PA,This will be a Work from Home position which requires strong Wi-Fi connection with powe...,https://www.naukri.com/job-listings-python-trainer-developer-night-shift-and-work-from-home-wonksknow-technologies-bengaluru-0-to-2-years-090224006475
13,Python (Programming Language)-Application Developer,Accenture4.046177  Reviews,Bangalore/Bengaluru,Not disclosed,"Educational Qualification :a. Bachelors degree in computer science, Engineering, or a r...",https://www.naukri.com/job-listings-python-programming-language-application-developer-accenture-solutions-pvt-ltd-bangalore-bengaluru-2-to-5-years-020224909799
14,Senior Python Developer ( Notice Period: 30 Days),Atyeti3.675  Reviews,Remote,Not disclosed,"Minimum of 7 years of experience in software development, with a strong focus on Python...",https://www.naukri.com/job-listings-senior-python-developer-notice-period-30-days-atyeti-pune-maharashtra-8-to-13-years-310124004807
15,Data Scientist- Python developer,Tiger Analytics3.4451  Reviews,Bangalore/Bengaluru,Not disclosed,"Should be able to understand, test and debug existing pythonShould be familiarized with...",https://www.naukri.com/job-listings-data-scientist-python-developer-tiger-analytics-india-consulting-private-limited-bangalore-bengaluru-2-to-7-years-060224907400
16,"Senior Engineer - ETL & Python, Data Engineer, SQL , Angular",Apexon3.2862  Reviews,"Pune, Ahmedabad",Not disclosed,Experience with Agile / Scrum development methodologies is a plus. Role in Project . Py...,https://www.naukri.com/job-listings-senior-engineer-etl-python-data-engineer-sql-angular-infostretch-solutions-pvt-ltd-pune-ahmedabad-5-to-8-years-070224501093
17,Python Developer Intern,Coderize Technologies5.03  Reviews,Pune,Unpaid,Not Mentioned,https://www.naukri.com/job-listings-python-developer-intern-coderize-technologies-pune-0-to-1-years-060224501356
18,Senior Developer - Python,Isha Foundation4.486  Reviews,"Coimbatore, Tamil Nadu",Not disclosed, Software Development:Design and develop robust and scalable Python-based applications....,https://www.naukri.com/job-listings-senior-developer-python-isha-foundation-coimbatore-tamil-nadu-2-to-3-years-080224009905
19,Python Developer ( Gen AI ),Golden Opportunities Pvt Ltd ,"Pune, Maharashtra, Gurugram, Haryana, Bengaluru, Karnataka",Not disclosed,Should have experience in Developing and maintaining the backend infrastructure for gen...,https://www.naukri.com/job-listings-python-developer-gen-ai-golden-opportunities-pune-maharashtra-gurugram-haryana-bengaluru-karnataka-7-to-12-years-080224908035
20,Python Developer,MNC CLIENT,"Hybrid - Hyderabad, Telangana, Pune, Maharashtra, Bangalore Rural, Karnataka",18-30 Lacs PA,"Hands on experience of Python, Pandas, NumPy, SciPy, Keras, apaCy, NLTK Experience of O...",https://www.naukri.com/job-listings-python-developer-mccreade-software-hyderabad-telangana-pune-maharashtra-bangalore-rural-karnataka-5-to-10-years-070224008819
